,id,compas_screening_date,sex,dob,age,age_cat,race,juv_fel_count,decile_score,juv_misd_count,juv_other_count,priors_count,days_b_screening_arrest,c_jail_in,c_jail_out,c_offense_date,c_arrest_date,c_days_from_compas,c_charge_degree,is_recid,r_charge_degree,r_days_from_arrest,r_offense_date,r_jail_in,r_jail_out,violent_recid,is_violent_recid,vr_charge_degree,type_of_assessment,decile_score.1,score_text,screening_date,v_type_of_assessment,v_decile_score,v_score_text,v_screening_date,in_custody,out_custody,priors_count.1,start,end,event
0,1,20130814,Male,19470418,69,Greater than 45,Other,0,1,0,0,0,-1.0,20130813.0,20130814.0,20130813.0,,1.0,F,0,,,,,,,0,,Risk of Recidivism,1,Low,20130814,Risk of Violence,1,Low,20130814,20140707.0,20140714.0,0,0,327,0
1,3,20130127,Male,19820122,34,25 - 45,African-American,0,3,0,0,0,-1.0,20130126.0,20130205.0,20130126.0,,1.0,F,1,(F3),,20130705.0,,,,1,(F3),Risk of Recidivism,3,Low,20130127,Risk of Violence,1,Low,20130127,20130126.0,20130205.0,0,9,159,1
2,4,20130414,Male,19910514,24,Less than 25,African-American,0,4,0,1,4,-1.0,20130413.0,20130414.0,20130413.0,,1.0,F,1,(M1),0.0,20130616.0,20130616.0,20130616.0,,0,,Risk of Recidivism,4,Low,20130414,Risk of Violence,3,Low,20130414,20130616.0,20130616.0,4,0,63,0
3,5,20130113,Male,19930121,23,Less than 25,African-American,0,8,1,0,1,,,,20130112.0,,1.0,F,0,,,,,,,0,,Risk of Recidivism,8,High,20130113,Risk of Violence,6,Medium,20130113,,,1,0,1174,0
4,6,20130326,Male,19730122,43,25 - 45,Other,0,1,0,0,2,,,,,20130109.0,76.0,F,0,,,,,,,0,,Risk of Recidivism,1,Low,20130326,Risk of Violence,1,Low,20130326,,,2,0,1102,0
5,7,20131130,Male,19710822,44,25 - 45,Other,0,1,0,0,0,0.0,20131130.0,20131201.0,20131130.0,,0.0,M,0,,,,,,,0,,Risk of Recidivism,1,Low,20131130,Risk of Violence,1,Low,20131130,20131130.0,20131201.0,0,1,853,0
6,8,20140219,Male,19740723,41,25 - 45,Caucasian,0,6,0,0,14,-1.0,20140218.0,20140224.0,20140218.0,,1.0,F,1,(F2),0.0,20140331.0,20140331.0,20140418.0,,0,,Risk of Recidivism,6,Medium,20140219,Risk of Violence,2,Low,20140219,20140331.0,20140418.0,14,5,40,1
7,9,20130830,Male,19730225,43,25 - 45,Other,0,4,0,0,3,-1.0,20130829.0,20130830.0,,20130829.0,1.0,F,0,,,,,,,0,,Risk of Recidivism,4,Low,20130830,Risk of Violence,3,Low,20130830,20140522.0,20140603.0,3,0,265,0
8,10,20140316,Female,19760603,39,25 - 45,Caucasian,0,1,0,0,0,-1.0,20140315.0,20140318.0,20140315.0,,1.0,M,0,,,,,,,0,,Risk of Recidivism,1,Low,20140316,Risk of Violence,1,Low,20140316,20140315.0,20140318.0,0,2,747,0
9,13,20131104,Male,19940610,21,Less than 25,Caucasian,0,3,0,0,1,428.0,20150106.0,20150107.0,20121231.0,,308.0,F,1,(M1),0.0,20150106.0,20150106.0,20150107.0,,1,(F2),Risk of Recidivism,3,Low,20131104,Risk of Violence,5,Medium,20131104,20150106.0,20150107.0,1,0,428,1
