@relation none
@attribute in_sf real
@attribute beds real
@attribute bath real
@attribute price real
@attribute year_built real
@attribute sqft real
@attribute price_per_sqft real
@attribute elevation real
@data
0.0,2.0,1.0,999000.0,1960.0,1000.0,999.0,10.0
0.0,2.0,2.0,2750000.0,2006.0,1418.0,1939.0,0.0
0.0,2.0,2.0,1350000.0,1900.0,2150.0,628.0,9.0
0.0,1.0,1.0,629000.0,1903.0,500.0,1258.0,9.0
0.0,0.0,1.0,439000.0,1930.0,500.0,878.0,10.0
0.0,0.0,1.0,439000.0,1930.0,500.0,878.0,10.0
0.0,1.0,1.0,475000.0,1920.0,500.0,950.0,10.0
0.0,1.0,1.0,975000.0,1930.0,900.0,1083.0,10.0
0.0,1.0,1.0,975000.0,1930.0,900.0,1083.0,12.0
0.0,2.0,1.0,1895000.0,1921.0,1000.0,1895.0,12.0
0.0,3.0,3.0,2095000.0,1926.0,2200.0,952.0,4.0
0.0,1.0,1.0,999000.0,1982.0,784.0,1274.0,5.0
0.0,1.0,1.0,999000.0,1982.0,784.0,1274.0,5.0
0.0,1.0,1.0,1249000.0,1987.0,826.0,1512.0,3.0
0.0,0.0,1.0,1110000.0,2008.0,698.0,1590.0,5.0
0.0,2.0,2.0,2059500.0,2008.0,1373.0,1500.0,5.0
0.0,2.0,2.0,2000000.0,1928.0,1200.0,1667.0,10.0
0.0,1.0,1.0,715000.0,1903.0,557.0,1284.0,3.0
0.0,2.0,2.0,2498000.0,2005.0,1260.0,1983.0,2.0
0.0,2.0,1.5,2650000.0,1915.0,2500.0,1060.0,5.0
0.0,2.0,2.0,3450000.0,1900.0,1850.0,1865.0,9.0
0.0,1.0,1.0,3105000.0,2016.0,1108.0,2802.0,10.0
0.0,4.0,5.0,13750000.0,2016.0,3699.0,3717.0,10.0
0.0,2.0,2.0,1185000.0,1900.0,1000.0,1185.0,4.0
0.0,1.0,2.0,1699000.0,1900.0,1500.0,1133.0,5.0
0.0,1.0,1.0,1195000.0,1900.0,1093.0,1093.0,6.0
0.0,1.0,1.0,450000.0,1920.0,500.0,900.0,10.0
0.0,1.0,1.0,1195000.0,1900.0,1093.0,1093.0,10.0
0.0,2.0,2.0,1185000.0,1900.0,1000.0,1185.0,10.0
0.0,0.0,1.0,625000.0,1964.0,800.0,781.0,8.0
0.0,2.0,2.0,3159990.0,2012.0,1420.0,2225.0,8.0
0.0,2.0,2.0,2200000.0,1920.0,2050.0,1073.0,10.0
0.0,2.0,2.0,4895000.0,2016.0,1520.0,3220.0,10.0
0.0,2.0,2.0,6525000.0,2016.0,2018.0,3233.0,10.0
0.0,2.0,2.0,4895000.0,2016.0,1520.0,3220.0,11.0
0.0,2.0,2.0,6525000.0,2016.0,2018.0,3233.0,11.0
0.0,2.0,2.0,1675000.0,2006.0,1225.0,1367.0,12.0
0.0,2.0,2.0,1675000.0,2006.0,1225.0,1367.0,12.0
0.0,2.0,1.0,999000.0,1985.0,799.0,1250.0,5.0
0.0,1.0,1.0,1550000.0,1926.0,1000.0,1550.0,6.0
0.0,1.0,1.0,1595000.0,2015.0,714.0,2234.0,7.0
0.0,2.0,2.0,3995000.0,1906.0,2400.0,1665.0,9.0
0.0,1.0,1.0,1285000.0,2012.0,749.0,1716.0,10.0
0.0,1.0,1.0,1595000.0,2015.0,714.0,2234.0,10.0
0.0,2.0,2.0,3995000.0,1906.0,2400.0,1665.0,10.0
0.0,2.0,2.0,4995000.0,1900.0,2024.0,2468.0,8.0
0.0,3.0,2.0,3580000.0,1880.0,3000.0,1193.0,10.0
0.0,3.0,3.0,6350000.0,2015.0,2500.0,2540.0,3.0
0.0,3.0,3.0,6550000.0,2015.0,2500.0,2620.0,3.0
0.0,3.0,3.0,5985000.0,1909.0,3300.0,1814.0,3.0
0.0,3.0,3.0,9900000.0,2015.0,2950.0,3356.0,4.0
0.0,1.0,1.0,1849000.0,1920.0,1400.0,1321.0,5.0
0.0,2.0,2.0,3500000.0,1915.0,2000.0,1750.0,5.0
0.0,2.0,2.0,3500000.0,1910.0,1887.0,1855.0,5.0
0.0,1.0,1.0,1250000.0,2007.0,720.0,1736.0,6.0
0.0,2.0,1.0,899000.0,1990.0,820.0,1096.0,7.0
0.0,1.0,2.0,1950000.0,1900.0,1300.0,1500.0,7.0
0.0,1.0,1.0,1750000.0,1963.0,1000.0,1750.0,5.0
0.0,0.0,1.0,775000.0,2009.0,546.0,1419.0,6.0
0.0,0.0,1.0,390000.0,1955.0,550.0,709.0,6.0
0.0,0.0,1.0,699999.0,1988.0,500.0,1400.0,9.0
0.0,1.0,1.0,649000.0,1965.0,750.0,865.0,10.0
0.0,2.0,2.0,1200000.0,1964.0,1200.0,1000.0,10.0
0.0,0.0,1.0,319000.0,1941.0,500.0,638.0,10.0
0.0,0.0,1.0,699999.0,1988.0,500.0,1400.0,10.0
0.0,0.0,1.0,775000.0,2009.0,546.0,1419.0,10.0
0.0,1.0,1.0,649000.0,1965.0,750.0,865.0,10.0
0.0,2.0,2.0,1849000.0,2009.0,1135.0,1629.0,10.0
0.0,1.0,1.0,615000.0,1960.0,750.0,820.0,11.0
0.0,1.0,1.0,1590000.0,2008.0,785.0,2025.0,12.0
0.0,1.0,1.0,1150000.0,2014.0,645.0,1783.0,18.0
0.0,2.0,2.0,2650000.0,2014.0,1240.0,2137.0,18.0
0.0,0.0,1.0,469000.0,1932.0,500.0,938.0,18.0
0.0,0.0,1.0,569000.0,1962.0,543.0,1048.0,8.0
0.0,1.0,1.0,549000.0,1924.0,750.0,732.0,10.0
0.0,2.0,2.0,799000.0,1928.0,850.0,940.0,19.0
0.0,2.0,2.0,879000.0,1928.0,800.0,1099.0,22.0
0.0,2.0,3.0,2999000.0,1925.0,3200.0,937.0,10.0
0.0,2.0,3.0,2999000.0,1925.0,3200.0,937.0,10.0
0.0,2.0,3.0,2999000.0,1925.0,3200.0,937.0,12.0
