,CLASS
0,van
1,van
2,saab
3,van
4,bus
5,bus
6,bus
7,van
8,van
9,saab
10,van
11,saab
12,bus
13,van
14,bus
15,opel
16,van
17,bus
18,saab
19,opel
20,bus
21,van
22,bus
23,bus
24,saab
25,van
26,saab
27,saab
28,bus
29,saab
30,van
31,saab
32,opel
33,opel
34,opel
35,van
36,bus
37,van
38,saab
39,bus
40,opel
41,van
42,van
43,saab
44,saab
45,van
46,van
47,bus
48,van
49,saab
50,saab
51,saab
52,opel
53,bus
54,bus
55,van
56,saab
57,van
58,opel
59,van
60,opel
61,opel
62,van
63,bus
64,bus
65,opel
66,bus
67,opel
68,van
69,bus
70,opel
71,opel
72,opel
73,opel
74,van
75,opel
76,saab
77,saab
78,bus
79,bus
80,bus
81,bus
82,van
83,opel
84,bus
85,bus
86,van
87,van
88,bus
89,opel
90,saab
91,opel
92,saab
93,van
94,bus
95,opel
96,saab
97,bus
98,opel
99,bus
100,bus
101,van
102,van
103,van
104,bus
105,saab
106,opel
107,opel
108,bus
109,bus
110,van
111,van
112,opel
113,opel
114,van
115,van
116,opel
117,saab
118,bus
119,bus
120,saab
121,van
122,van
123,saab
124,van
125,van
126,bus
127,bus
128,van
129,bus
130,saab
131,saab
132,saab
133,van
134,opel
135,van
136,van
137,van
138,saab
139,van
140,saab
141,bus
142,opel
143,bus
144,opel
145,opel
146,van
147,bus
148,saab
149,van
150,saab
151,bus
152,opel
153,saab
154,van
155,bus
156,opel
157,van
158,saab
159,opel
160,opel
161,opel
162,saab
163,saab
164,opel
165,opel
166,saab
167,saab
168,bus
169,van
170,opel
171,bus
172,van
173,bus
174,van
175,bus
176,opel
177,bus
178,bus
179,van
180,saab
181,opel
182,bus
183,saab
184,saab
185,bus
186,bus
187,opel
188,opel
189,opel
190,opel
191,van
192,saab
193,bus
194,saab
195,bus
196,saab
197,bus
198,bus
199,bus
200,van
201,saab
202,opel
203,opel
204,van
205,van
206,opel
207,bus
208,bus
209,opel
210,opel
211,van
212,bus
213,bus
214,opel
215,opel
216,saab
217,opel
218,bus
219,van
220,opel
221,van
222,bus
223,bus
224,saab
225,van
226,saab
227,van
228,saab
229,saab
230,van
231,saab
232,bus
233,saab
234,van
235,van
236,bus
237,bus
238,opel
239,bus
240,opel
241,opel
242,bus
243,saab
244,van
245,van
246,bus
247,saab
248,opel
249,saab
250,van
251,opel
252,van
253,bus
254,van
255,saab
256,saab
257,opel
258,saab
259,opel
260,saab
261,saab
262,van
263,van
264,saab
265,bus
266,bus
267,saab
268,van
269,van
270,bus
271,saab
272,van
273,van
274,bus
275,bus
276,bus
277,opel
278,saab
279,bus
280,opel
281,bus
282,bus
283,saab
284,van
285,saab
286,bus
287,van
288,opel
289,saab
290,van
291,van
292,bus
293,van
294,bus
295,bus
296,bus
297,saab
298,saab
299,bus
300,saab
301,opel
302,bus
303,van
