,class
0,g
1,b
2,g
3,b
4,g
5,b
6,g
7,b
8,g
9,b
10,g
11,b
12,g
13,b
14,g
15,b
16,g
17,b
18,g
19,b
20,g
21,b
22,g
23,b
24,g
25,b
26,g
27,b
28,g
29,b
30,g
31,b
32,g
33,b
34,g
35,b
36,g
37,b
38,g
39,b
40,g
41,b
42,g
43,b
44,g
45,b
46,g
47,b
48,g
49,b
50,g
51,b
52,g
53,b
54,g
55,b
56,g
57,b
58,g
59,b
60,g
61,b
62,g
63,b
64,g
65,b
66,g
67,b
68,g
69,b
70,g
71,b
72,g
73,b
74,g
75,b
76,g
77,b
78,g
79,b
80,g
81,b
82,g
83,b
84,g
85,b
86,g
87,b
88,g
89,b
90,g
91,b
92,g
93,b
94,g
95,b
96,g
97,g
98,b
99,g
100,b
101,g
102,b
103,g
104,b
105,g
106,b
107,g
108,b
109,g
110,b
111,g
112,b
113,g
114,b
115,g
116,b
117,g
118,b
119,g
120,b
121,g
122,b
123,g
124,b
125,g
126,b
127,g
128,b
129,g
130,b
131,g
132,b
133,g
134,b
135,g
136,b
137,g
138,b
139,g
140,b
141,g
142,b
143,g
144,b
145,g
146,b
147,g
148,b
149,g
150,b
151,g
152,b
153,g
154,b
155,g
156,b
157,g
158,b
159,g
160,b
161,g
162,b
163,g
164,b
165,g
166,b
167,g
168,b
169,g
170,b
171,g
172,b
173,g
174,b
175,g
176,b
177,g
178,b
179,g
180,b
181,g
182,b
183,g
184,b
185,g
186,b
187,g
188,b
189,g
190,b
191,g
192,b
193,g
194,b
195,g
196,b
197,g
198,b
199,g
200,b
201,g
202,b
203,g
204,b
205,g
206,b
207,g
208,b
209,g
210,b
211,g
212,b
213,g
214,b
215,g
216,b
217,g
218,b
219,g
220,b
221,g
222,b
223,g
224,b
225,g
226,b
227,g
228,b
229,g
230,b
231,g
232,b
233,g
234,b
235,g
236,b
237,g
238,b
239,g
240,b
241,g
242,b
243,g
244,b
245,g
246,b
247,g
248,b
249,g
250,b
251,g
252,b
253,g
254,g
255,g
256,g
257,g
258,g
259,g
260,g
261,g
262,g
263,g
264,g
265,g
266,g
267,g
268,g
269,g
270,g
271,g
272,g
273,g
274,g
275,g
276,g
277,g
278,g
279,g
280,g
281,g
282,g
283,g
284,g
285,g
286,g
287,g
288,g
289,g
290,g
291,g
292,g
293,g
294,g
295,g
296,g
297,g
298,g
299,g
300,g
301,g
302,g
303,g
304,g
305,g
306,g
307,g
308,g
309,g
310,g
311,g
312,g
313,g
314,g
315,g
316,g
317,g
318,g
319,g
320,g
321,g
322,g
323,g
324,g
325,g
326,g
327,g
328,g
329,g
330,g
331,g
332,g
333,g
334,g
335,g
336,g
337,g
338,g
339,g
340,g
341,g
342,g
343,g
344,g
345,g
346,g
347,g
348,g
349,g
350,g
