n_clusters,metric,linkage,time,silhouette,calinski_harabasz,davies_bouldin,r_score,adj_rand,mut_info_score,adj_mutual_info_score,norm_mutual_info_score,homog_score,complete_score,v_msr_score,fwlks_mallows_score,alg,dataset
4,correlation,average,0.003443956375122,-0.0048,86.3603,1.3869,0.6272,0.2498,0.3385,0.315,0.3209,0.245,0.4648,0.3209,0.5283,skl_agglomerativeClust,zelnik5_y.zip
4,correlation,complete,0.0032961368560791,0.0013,87.4573,10.2988,0.677,0.1813,0.341,0.2489,0.2538,0.2469,0.2612,0.2538,0.402,skl_agglomerativeClust,zelnik5_y.zip
4,correlation,single,0.0023088455200195,0.0373,86.8516,1.8528,0.6279,0.2526,0.3379,0.3165,0.3219,0.2446,0.4705,0.3219,0.531,skl_agglomerativeClust,zelnik5_y.zip
4,cosine,average,0.0034477710723876,0.4172,407.6009,0.9033,0.7792,0.4341,0.806,0.5928,0.5954,0.5834,0.6079,0.5954,0.5846,skl_agglomerativeClust,zelnik5_y.zip
4,cosine,complete,0.0033535957336425,0.3855,389.6617,0.9432,0.766,0.3841,0.7339,0.5312,0.5342,0.5313,0.5371,0.5342,0.5412,skl_agglomerativeClust,zelnik5_y.zip
4,cosine,single,0.0021145343780517,0.4023,319.6401,0.7257,0.8083,0.5404,0.9123,0.6995,0.7016,0.6605,0.7482,0.7016,0.6788,skl_agglomerativeClust,zelnik5_y.zip
4,euclidean,average,0.0032265186309814,0.4676,410.937,0.7282,0.7831,0.4846,0.8494,0.658,0.6604,0.6149,0.7132,0.6604,0.6411,skl_agglomerativeClust,zelnik5_y.zip
4,euclidean,complete,0.0030646324157714,0.3762,293.5001,0.7457,0.6666,0.2958,0.6955,0.5675,0.5707,0.5034,0.6587,0.5707,0.544,skl_agglomerativeClust,zelnik5_y.zip
4,euclidean,single,0.0019698143005371,0.345,177.4906,1.5373,1.0,1.0,1.3814,1.0,1.0,1.0,1.0,1.0,1.0,skl_agglomerativeClust,zelnik5_y.zip
4,euclidean,ward,0.0037708282470703,0.4847,440.7359,0.7096,0.7883,0.4889,0.8627,0.6615,0.6638,0.6245,0.7084,0.6638,0.6398,skl_agglomerativeClust,zelnik5_y.zip
