eps,min_samples,metric,algorithm,n_jobs,max_nbr_values,max_nbr_values_cat,time,silhouette,calinski_harabasz,davies_bouldin,alg,dataset
0.1,10,correlation,auto,4,1000.0,100,0.4409244060516357,0.3745,65.7449,1.8942,skl_DBSCAN,wine.zip
0.1,10,correlation,auto,4,1000.0,20,0.4257557392120361,0.3745,65.7449,1.8942,skl_DBSCAN,wine.zip
0.1,10,correlation,auto,4,20.0,20,0.5894954204559326,0.3911,60.394,1.8962,skl_DBSCAN,wine.zip
0.1,10,correlation,auto,4,inf,100,0.4264049530029297,0.3745,65.7449,1.8942,skl_DBSCAN,wine.zip
0.1,10,correlation,auto,4,inf,20,0.4267444610595703,0.3745,65.7449,1.8942,skl_DBSCAN,wine.zip
0.1,10,cosine,auto,4,1000.0,100,0.4800386428833008,0.3736,63.7653,1.8396,skl_DBSCAN,wine.zip
0.1,10,cosine,auto,4,1000.0,20,0.4945425987243652,0.3736,63.7653,1.8396,skl_DBSCAN,wine.zip
0.1,10,cosine,auto,4,20.0,20,0.6928443908691406,0.3696,65.0299,1.9183,skl_DBSCAN,wine.zip
0.1,10,cosine,auto,4,inf,100,0.5050737857818604,0.3736,63.7653,1.8396,skl_DBSCAN,wine.zip
0.1,10,cosine,auto,4,inf,20,0.4912838935852051,0.3736,63.7653,1.8396,skl_DBSCAN,wine.zip
0.1,10,euclidean,auto,4,1000.0,100,0.036484956741333,0.0,0.0,0.0,skl_DBSCAN,wine.zip
0.1,10,euclidean,auto,4,1000.0,20,0.0363352298736572,0.0,0.0,0.0,skl_DBSCAN,wine.zip
0.1,10,euclidean,auto,4,20.0,20,0.0585215091705322,0.0,0.0,0.0,skl_DBSCAN,wine.zip
0.1,10,euclidean,auto,4,inf,100,0.037377119064331,0.0,0.0,0.0,skl_DBSCAN,wine.zip
0.1,10,euclidean,auto,4,inf,20,0.0812327861785888,0.0,0.0,0.0,skl_DBSCAN,wine.zip
0.1,2,correlation,auto,4,1000.0,100,0.4292531013488769,0.3145,29.3709,1.6054,skl_DBSCAN,wine.zip
0.1,2,correlation,auto,4,1000.0,20,0.425473690032959,0.3145,29.3709,1.6054,skl_DBSCAN,wine.zip
0.1,2,correlation,auto,4,20.0,20,0.5904755592346191,0.3686,52.5007,1.712,skl_DBSCAN,wine.zip
0.1,2,correlation,auto,4,inf,100,0.433314561843872,0.3145,29.3709,1.6054,skl_DBSCAN,wine.zip
0.1,2,correlation,auto,4,inf,20,0.4214248657226562,0.3145,29.3709,1.6054,skl_DBSCAN,wine.zip
0.1,2,cosine,auto,4,1000.0,100,0.4859459400177002,0.1357,19.2844,1.4869,skl_DBSCAN,wine.zip
0.1,2,cosine,auto,4,1000.0,20,0.4932961463928222,0.1357,19.2844,1.4869,skl_DBSCAN,wine.zip
0.1,2,cosine,auto,4,20.0,20,0.6830086708068848,0.1288,27.2115,1.4356,skl_DBSCAN,wine.zip
0.1,2,cosine,auto,4,inf,100,0.5108211040496826,0.1357,19.2844,1.4869,skl_DBSCAN,wine.zip
0.1,2,cosine,auto,4,inf,20,0.503610372543335,0.1357,19.2844,1.4869,skl_DBSCAN,wine.zip
0.1,2,euclidean,auto,4,1000.0,100,0.0737330913543701,-0.125,2.6232,1.0995,skl_DBSCAN,wine.zip
0.1,2,euclidean,auto,4,1000.0,20,0.0695044994354248,-0.125,2.6232,1.0995,skl_DBSCAN,wine.zip
0.1,2,euclidean,auto,4,20.0,20,0.0526320934295654,-0.0991,2.6969,1.1081,skl_DBSCAN,wine.zip
0.1,2,euclidean,auto,4,inf,100,0.0670444965362548,-0.125,2.6232,1.0995,skl_DBSCAN,wine.zip
0.1,2,euclidean,auto,4,inf,20,0.0772247314453125,-0.125,2.6232,1.0995,skl_DBSCAN,wine.zip
0.1,5,correlation,auto,4,1000.0,100,0.426440954208374,0.369,59.0284,1.8334,skl_DBSCAN,wine.zip
0.1,5,correlation,auto,4,1000.0,20,0.4325191974639892,0.369,59.0284,1.8334,skl_DBSCAN,wine.zip
0.1,5,correlation,auto,4,20.0,20,0.5912153720855713,0.3971,59.6209,1.815,skl_DBSCAN,wine.zip
0.1,5,correlation,auto,4,inf,100,0.4302566051483154,0.369,59.0284,1.8334,skl_DBSCAN,wine.zip
0.1,5,correlation,auto,4,inf,20,0.4197947978973388,0.369,59.0284,1.8334,skl_DBSCAN,wine.zip
0.1,5,cosine,auto,4,1000.0,100,0.4877855777740478,0.3449,55.1565,1.7035,skl_DBSCAN,wine.zip
0.1,5,cosine,auto,4,1000.0,20,0.4892592430114746,0.3449,55.1565,1.7035,skl_DBSCAN,wine.zip
0.1,5,cosine,auto,4,20.0,20,0.6793572902679443,0.3416,57.3957,1.6339,skl_DBSCAN,wine.zip
0.1,5,cosine,auto,4,inf,100,0.4776985645294189,0.3449,55.1565,1.7035,skl_DBSCAN,wine.zip
0.1,5,cosine,auto,4,inf,20,0.5049922466278076,0.3449,55.1565,1.7035,skl_DBSCAN,wine.zip
0.1,5,euclidean,auto,4,1000.0,100,0.0652470588684082,-0.2143,7.577,0.961,skl_DBSCAN,wine.zip
0.1,5,euclidean,auto,4,1000.0,20,0.0761213302612304,-0.2143,7.577,0.961,skl_DBSCAN,wine.zip
0.1,5,euclidean,auto,4,20.0,20,0.0579657554626464,-0.282,7.3024,0.977,skl_DBSCAN,wine.zip
0.1,5,euclidean,auto,4,inf,100,0.0748486518859863,-0.2143,7.577,0.961,skl_DBSCAN,wine.zip
