,index,n_clusters,max_leaves,base_tree,max_nbr_values,max_nbr_values_cat,time,silhouette,calinski_harabasz,davies_bouldin,r_score,adj_rand,mut_info_score,adj_mutual_info_score,norm_mutual_info_score,homog_score,complete_score,v_msr_score,fwlks_mallows_score,alg,dataset,init,n_init,max_iter,tol,verbose,random_state,copy,algorithm,bisecting_strategy,labels_as_tree_leaves,criterion,splitter,min_samples_split,min_samples_leaf,min_weight_fraction_leaf,max_features,max_leaf_nodes,min_impurity_decrease,class_weight,ccp_alpha,max_depth,max_nbr_clusters,bic_eps,eps,min_samples,metric,n_jobs,linkage,amount_initial_centers,kmax,criteria_clf,criteria_reg,depth_factor,metric_con,metric_cat,max_eps,n_components,oblique_splits,max_oblique_features,min_nr_instances,min_y,min_rd,threshold,branching_factor
0,7,6.0,,,20.0,20.0,1.0398423671722412,0.1723,1245.9368,1.718,,,,,,,,,,skl_kmeans,wine,k-means++,11.0,300.0,0.0001,False,42.0,True,lloyd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,7,2.0,,,20.0,20.0,0.9596011638641356,0.2048,1754.1863,1.8133,,,,,,,,,,skl_bis_kmeans,wine,k-means++,11.0,100.0,0.0001,False,42.0,True,lloyd,largest_cluster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,7,12.0,,,20.0,20.0,0.9245905876159668,0.131,772.0347,1.7763,,,,,,,,,,skl_birch,wine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,50.0
3,177,4.0,,,20.0,20.0,0.4000899791717529,0.2839,3.6846,0.5013,,,,,,,,,,skl_agglomerativeClust,wine,,,,,,,,,,,,,,,,,,,,,,,,,,cosine,,single,,,,,,,,,,,,,,,,
4,42,,,,20.0,20.0,14.206883907318115,0.1243,4.7263,1.2378,,,,,,,,,,skl_OPTICS,wine,,,,,,,,auto,,,,,,,,,,,,,,,,,2.0,euclidean,4.0,,,,,,,,,inf,,,,,,,,
5,27,,,,20.0,20.0,0.0526320934295654,-0.0991,2.6969,1.1081,,,,,,,,,,skl_DBSCAN,wine,,,,,,,,auto,,,,,,,,,,,,,,,,0.1,2.0,euclidean,4.0,,,,,,,,,,,,,,,,,
6,82,,,,20.0,20.0,0.0573084354400634,0.2048,1753.4075,1.8137,,,,,,,,,,pyc_xmeans,wine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,,,,,,,,,,,,,
7,42,2.0,,,20.0,20.0,1.3656837940216064,0.0096,16.7568,17.812,,,,,,,,,,kmodes,wine,Cao,11.0,500.0,,False,42.0,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,
8,37,10.0,,,20.0,20.0,0.9532732963562012,0.0975,643.7772,2.0781,,,,,,,,,,kmeans+dt,wine,k-means++,11.0,300.0,0.0001,False,42.0,True,lloyd,,True,gini,best,30.0,50.0,0.0,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
9,167,,,,20.0,20.0,0.4548718929290771,0.1236,416.8859,2.8511,,,,,,,,,,VarianceParTree,wine,,,,,,,,,,,,,5.0,3.0,,,,,,,4.0,2.0,0.1,,,,,,,,,,,,,,,,,,,,,
