,dataset,alg,n_clusters,labels_as_tree_leaves,init,n_init,max_iter,tol,verbose,random_state,copy,algorithm,criterion,splitter,min_samples_split,min_samples_leaf,min_weight_fraction_leaf,max_features,max_leaf_nodes,min_impurity_decrease,class_weight,ccp_alpha,max_nbr_values,max_nbr_values_cat,time,silhouette,calinski_harabasz,davies_bouldin,r_score,adj_rand,mut_info_score,adj_mutual_info_score,norm_mutual_info_score,homog_score,complete_score,v_msr_score,fwlks_mallows_score,max_depth,max_nbr_clusters,bic_eps,metric_con,metric_cat,min_nr_instances,min_y,min_rd,n_components,oblique_splits,max_oblique_features,bisecting_strategy,criteria_clf,criteria_reg,min_samples,max_eps,metric,n_jobs,eps,threshold,branching_factor,amount_initial_centers,kmax,linkage
0,adult_y,CenterParTree2,,,,,,,,42.0,,,,,50.0,3.0,,,,,,,20.0,20.0,16.350173234939575,0.1008,3061.3621,3.0059,0.5884,0.1755,0.1054,0.1698,0.1698,0.191,0.1528,0.1698,0.6425,4.0,2.0,0.1,cos,jaccard,,,,,,,,,,,,,,,,,,,
1,adult_y,ImpurityParTree2,,,,,,,,42.0,,,,,5.0,30.0,,,,,,,20.0,20.0,3.665070772171021,-0.028,444.0522,6.0563,0.5157,0.0973,0.0845,0.0996,0.0996,0.153,0.0739,0.0996,0.535,3.0,4.0,0.0,,,,,,,,,,gini,mape,,,,,,,,,,
2,adult_y,PrincipalParTree,,,,,,,,42.0,,,,,5.0,30.0,,,,,,,20.0,20.0,2.8361856937408447,0.0022,342.2767,6.5419,0.5317,0.1526,0.1249,0.1363,0.1363,0.2262,0.0976,0.1363,0.5351,2.0,8.0,0.1,,,,,,1.0,False,2.0,,,,,,,,,,,,,
3,adult_y,VarianceParTree,,,,,,,,,,,,,50.0,3.0,,,,,,,20.0,20.0,10.019329071044922,-0.0117,5330.2416,1.9275,0.464,0.0086,0.0205,0.0201,0.0202,0.0371,0.0139,0.0202,0.4752,4.0,10.0,0.0,,,,,,,,,,,,,,,,,,,,,
4,adult_y,kmeans+dt,8.0,True,k-means++,11.0,100.0,0.0001,False,42.0,True,lloyd,gini,best,30.0,5.0,0.0,,,0.0,,0.0,inf,20.0,1.252247333526611,0.0917,2138.2652,2.2541,0.4101,-0.0068,0.0396,0.033,0.0331,0.0717,0.0215,0.0331,0.3322,,,,,,,,,,,,,,,,,,,,,,,,
5,adult_y,kmodes,2.0,,Cao,11.0,500.0,,False,42.0,,,,,,,,,,,,,1000.0,20.0,6.162360906600952,0.0349,295.4258,8.061,0.5007,-0.0302,0.0397,0.0669,0.067,0.072,0.0626,0.067,0.5821,,,,,,,,,,,,,,,,,,4.0,,,,,,
6,adult_y,pyc_xmeans,,,,,,,,,,,,,,,,,,,,,1000.0,100.0,0.8793914318084717,0.1869,8924.8107,1.5281,0.3864,0.0028,0.0764,0.045,0.0452,0.1384,0.027,0.0452,0.2161,,,,,,,,,,,,,,,,,,,,,,12.0,22.0,
7,adult_y,skl_DBSCAN,,,,,,,,,,auto,,,,,,,,,,,20.0,20.0,2.789622068405152,-0.3333,7.8792,1.4197,0.4167,0.0088,0.1456,0.0522,0.0661,0.2637,0.0378,0.0661,0.3369,,,,,,,,,,,,,,,2.0,,euclidean,4.0,1.0,,,,,
8,adult_y,skl_OPTICS,,,,,,,,,,auto,,,,,,,,,,,inf,20.0,205.8673014640808,-0.0478,4.5669,1.4223,0.3984,-0.0022,0.2367,0.029,0.0685,0.4288,0.0372,0.0685,0.2814,,,,,,,,,,,,,,,2.0,inf,correlation,4.0,,,,,,
9,adult_y,skl_agglomerativeClust,8.0,,,,,,,,,,,,,,,,,,,,20.0,20.0,46.96218347549439,0.3027,8573.0345,1.4438,0.5151,-0.0536,0.0235,0.0346,0.0348,0.0426,0.0294,0.0348,0.6219,,,,,,,,,,,,,,,,,euclidean,,,,,,,complete
10,adult_y,skl_birch,12.0,,,,,,,,,,,,,,,,,,,,inf,20.0,14.845718383789062,0.1965,12063.7065,1.3769,0.3986,-0.0108,0.0359,0.0267,0.0269,0.0651,0.0169,0.0269,0.2941,,,,,,,,,,,,,,,,,,,,0.5,50.0,,,
11,adult_y,skl_bis_kmeans,12.0,,k-means++,11.0,500.0,0.0001,False,42.0,True,lloyd,,,,,,,,,,,1000.0,20.0,12.613906145095823,0.1297,9647.7296,1.8056,0.3956,0.0055,0.0559,0.0382,0.0383,0.1013,0.0236,0.0383,0.2572,,,,,,,,,,,,largest_cluster,,,,,,,,,,,,
12,adult_y,skl_kmeans,10.0,,k-means++,11.0,100.0,0.0001,False,42.0,True,lloyd,,,,,,,,,,,20.0,20.0,1.327247142791748,0.191,14584.2219,1.5664,0.4009,0.0012,0.0411,0.0304,0.0305,0.0744,0.0192,0.0305,0.2868,,,,,,,,,,,,,,,,,,,,,,,,
13,bank,ImpurityParTree2,,,,,,,,42.0,,,,,5.0,3.0,,,,,,,20.0,20.0,5.089560508728027,0.016,1680.0664,1.747,,,,,,,,,,3.0,2.0,0.1,,,,,,,,,,gini,r2,,,,,,,,,,
