,dataset,alg,n_clusters,labels_as_tree_leaves,init,n_init,max_iter,tol,verbose,random_state,copy,algorithm,criterion,splitter,min_samples_split,min_samples_leaf,min_weight_fraction_leaf,max_features,max_leaf_nodes,min_impurity_decrease,class_weight,ccp_alpha,max_nbr_values,max_nbr_values_cat,time,silhouette,calinski_harabasz,davies_bouldin,r_score,adj_rand,mut_info_score,adj_mutual_info_score,norm_mutual_info_score,homog_score,complete_score,v_msr_score,fwlks_mallows_score,max_depth,max_nbr_clusters,bic_eps,metric_con,metric_cat,min_nr_instances,min_y,min_rd,n_components,oblique_splits,max_oblique_features,bisecting_strategy,criteria_clf,criteria_reg,min_samples,max_eps,metric,n_jobs,eps,threshold,branching_factor,amount_initial_centers,kmax,linkage
0,2d10c_y,CLTree,,,,,,,,,,,,,,,,,,,,,,,30.485121250152588,0.2583,414.8619,0.6634,0.2369,0.0344,0.2009,0.176,0.177,0.0973,0.9758,0.177,0.3906,,,,,,2.0,3.0,25.0,,,,,,,,,,,,,,,,
1,2d10c_y,CenterParTree2,,,,,,,,42.0,,,,,50.0,30.0,,,,,,,100.0,20.0,0.5499565601348877,0.7796,35046.8207,0.338,0.9878,0.9467,2.0395,0.9678,0.968,0.988,0.9487,0.968,0.9545,4.0,10.0,0.0,cos,jaccard,,,,,,,,,,,,,,,,,,,
2,2d10c_y,ImpurityParTree2,,,,,,,,42.0,,,,,50.0,3.0,,,,,,,1000.0,20.0,5.670537948608398,0.6067,2817.6226,0.5988,0.9635,0.8445,1.8506,0.8889,0.8896,0.8965,0.8828,0.8896,0.8657,10.0,10.0,0.1,,,,,,,,,,entropy,mape,,,,,,,,,,
3,2d10c_y,PrincipalParTree,,,,,,,,42.0,,,,,5.0,3.0,,,,,,,inf,20.0,0.0515613555908203,0.7652,37058.3001,0.5856,0.9927,0.9688,2.0397,0.9707,0.9708,0.9881,0.9542,0.9708,0.9733,12.0,10.0,0.1,,,,,,1.0,False,1.0,,,,,,,,,,,,,
4,2d10c_y,VarianceParTree,,,,,,,,,,,,,5.0,30.0,,,,,,,100.0,20.0,0.6747543811798096,0.6154,11522.6114,1.0962,0.9685,0.8585,1.9455,0.9041,0.9047,0.9425,0.8699,0.9047,0.8792,10.0,12.0,0.1,,,,,,,,,,,,,,,,,,,,,
5,2d10c_y,kmeans+dt,6.0,True,k-means++,11.0,100.0,0.0001,False,42.0,True,lloyd,gini,best,30.0,5.0,0.0,,,0.0,,0.0,inf,20.0,0.0218815803527832,0.6369,6192.2064,0.5036,0.9217,0.7302,1.5468,0.8483,0.8488,0.7493,0.9787,0.8488,0.7928,,,,,,,,,,,,,,,,,,,,,,,,
6,2d10c_y,kmodes,2.0,,Cao,11.0,100.0,,False,42.0,,,,,,,,,,,,,1000.0,20.0,0.1761224269866943,-0.091,3.0065,0.9998,0.1388,-0.0002,0.0017,0.0005,0.0016,0.0008,0.2106,0.0016,0.3703,,,,,,,,,,,,,,,,,,4.0,,,,,,
7,2d10c_y,pyc_xmeans,,,,,,,,,,,,,,,,,,,,,100.0,20.0,0.0184686183929443,0.8002,32119.573,0.2658,0.9893,0.9563,1.9709,0.9745,0.9746,0.9547,0.9953,0.9746,0.9631,,,,,,,,,,,,,,,,,,,,,,8.0,6.0,
8,2d10c_y,skl_DBSCAN,,,,,,,,,,auto,,,,,,,,,,,100.0,20.0,0.0127210617065429,0.831,26997.672,1.0948,0.9987,0.9945,2.0585,0.9922,0.9923,0.9972,0.9874,0.9923,0.9953,,,,,,,,,,,,,,,10.0,,euclidean,4.0,0.1,,,,,
9,2d10c_y,skl_OPTICS,,,,,,,,,,auto,,,,,,,,,,,1000.0,20.0,7.820361375808716,0.4664,2121.4965,1.0688,0.6286,0.2591,0.6274,0.4548,0.4554,0.3039,0.9076,0.4554,0.5099,,,,,,,,,,,,,,,5.0,inf,correlation,4.0,,,,,,
10,2d10c_y,skl_agglomerativeClust,8.0,,,,,,,,,,,,,,,,,,,,1000.0,20.0,0.1348762512207031,0.8059,33295.5981,0.3762,0.9965,0.9853,2.0047,0.9832,0.9833,0.9711,0.9958,0.9833,0.9874,,,,,,,,,,,,,,,,,cosine,,,,,,,average
11,2d10c_y,skl_birch,6.0,,,,,,,,,,,,,,,,,,,,inf,20.0,0.0398666858673095,0.7798,11671.6322,0.2482,0.9204,0.7302,1.6463,0.8869,0.8874,0.7975,1.0,0.8874,0.7959,,,,,,,,,,,,,,,,,,,,0.5,50.0,,,
12,2d10c_y,skl_bis_kmeans,8.0,,k-means++,11.0,300.0,0.0001,False,42.0,True,lloyd,,,,,,,,,,,100.0,20.0,0.0506448745727539,0.7962,32281.6367,0.3811,0.9921,0.9671,1.9774,0.9693,0.9694,0.9579,0.9812,0.9694,0.9717,,,,,,,,,,,,biggest_inertia,,,,,,,,,,,,
13,2d10c_y,skl_kmeans,8.0,,k-means++,11.0,300.0,0.0001,False,42.0,True,lloyd,,,,,,,,,,,1000.0,20.0,0.0218024253845214,0.8059,33295.5981,0.3762,0.9965,0.9853,2.0047,0.9832,0.9833,0.9711,0.9958,0.9833,0.9874,,,,,,,,,,,,,,,,,,,,,,,,
14,2d20cno0_y,CLTree,,,,,,,,,,,,,,,,,,,,,,,9.192132472991943,0.2091,250.905,0.686,0.178,0.0152,0.2314,0.1418,0.1454,0.0788,0.9457,0.1454,0.2475,,,,,,2.0,3.0,5.0,,,,,,,,,,,,,,,,
15,2d20cno0_y,CenterParTree2,,,,,,,,42.0,,,,,5.0,3.0,,,,,,,1000.0,20.0,4.26399302482605,0.5153,2379.6346,0.7447,0.96,0.7024,2.3316,0.8626,0.8663,0.7935,0.9537,0.8663,0.7449,8.0,12.0,0.0,cos,jaccard,,,,,,,,,,,,,,,,,,,
16,2d20cno0_y,ImpurityParTree2,,,,,,,,42.0,,,,,50.0,30.0,,,,,,,1000.0,20.0,0.7038512229919434,0.3746,916.8645,1.1121,0.502,0.0867,0.61,0.3385,0.3409,0.2076,0.9515,0.3409,0.3097,4.0,2.0,0.2,,,,,,,,,,gini,mape,,,,,,,,,,
17,2d20cno0_y,PrincipalParTree,,,,,,,,42.0,,,,,50.0,3.0,,,,,,,inf,20.0,0.0983941555023193,0.509,2281.2074,0.7378,0.9799,0.8068,2.632,0.8922,0.897,0.8958,0.8982,0.897,0.8175,8.0,20.0,0.1,,,,,,2.0,False,0.0,,,,,,,,,,,,,
18,2d20cno0_y,VarianceParTree,,,,,,,,,,,,,5.0,3.0,,,,,,,1000.0,20.0,1.6842758655548096,0.4759,1991.9401,0.6456,0.7652,0.2424,1.2467,0.5832,0.5869,0.4243,0.9518,0.5869,0.4255,8.0,4.0,0.2,,,,,,,,,,,,,,,,,,,,,
19,2d20cno0_y,kmeans+dt,4.0,True,k-means++,11.0,300.0,0.0001,False,42.0,True,lloyd,gini,best,30.0,50.0,0.0,,,0.0,,0.0,1000.0,20.0,0.0344550609588623,0.4926,2080.6172,0.6974,0.7804,0.261,1.2995,0.6038,0.6073,0.4423,0.9688,0.6073,0.4401,,,,,,,,,,,,,,,,,,,,,,,,
20,2d20cno0_y,kmodes,2.0,,Cao,11.0,500.0,,False,42.0,,,,,,,,,,,,,1000.0,20.0,0.0911593437194824,0.1823,4.4001,0.6762,0.0569,0.0001,0.0041,0.0007,0.0028,0.0014,0.403,0.0028,0.2332,,,,,,,,,,,,,,,,,,4.0,,,,,,
21,2d20cno0_y,pyc_xmeans,,,,,,,,,,,,,,,,,,,,,100.0,20.0,0.0258054733276367,0.6484,5897.8089,0.5111,0.9949,0.9487,2.9026,0.9728,0.9742,0.9879,0.9608,0.9742,0.952,,,,,,,,,,,,,,,,,,,,,,4.0,22.0,
22,2d20cno0_y,skl_DBSCAN,,,,,,,,,,auto,,,,,,,,,,,100.0,20.0,0.0072059631347656,0.6268,1828.6778,1.6672,0.9957,0.9571,2.8629,0.9648,0.9665,0.9744,0.9587,0.9665,0.9596,,,,,,,,,,,,,,,5.0,,euclidean,4.0,0.1,,,,,
23,2d20cno0_y,skl_OPTICS,,,,,,,,,,auto,,,,,,,,,,,1000.0,20.0,2.799270868301392,0.3151,234.1064,1.306,0.9318,0.5194,2.3572,0.8295,0.8375,0.8022,0.8761,0.8375,0.5772,,,,,,,,,,,,,,,20.0,inf,euclidean,4.0,,,,,,
24,2d20cno0_y,skl_agglomerativeClust,12.0,,,,,,,,,,,,,,,,,,,,inf,20.0,0.027472972869873,0.589,3240.6196,0.5369,0.956,0.6892,2.3779,0.8884,0.8915,0.8093,0.9922,0.8915,0.7415,,,,,,,,,,,,,,,,,euclidean,,,,,,,ward
25,2d20cno0_y,skl_birch,10.0,,,,,,,,,,,,,,,,,,,,100.0,20.0,0.0222041606903076,0.5088,2677.9364,0.6763,0.935,0.5846,2.1349,0.8229,0.8269,0.7266,0.9594,0.8269,0.6582,,,,,,,,,,,,,,,,,,,,0.5,50.0,,,
26,2d20cno0_y,skl_bis_kmeans,12.0,,k-means++,11.0,500.0,0.0001,False,42.0,True,lloyd,,,,,,,,,,,inf,20.0,0.0964064598083496,0.552,2996.4803,0.6314,0.9569,0.688,2.3388,0.8695,0.8731,0.796,0.9667,0.8731,0.7358,,,,,,,,,,,,biggest_inertia,,,,,,,,,,,,
27,2d20cno0_y,skl_kmeans,12.0,,k-means++,11.0,300.0,0.0001,False,42.0,True,lloyd,,,,,,,,,,,1000.0,20.0,0.0492656230926513,0.5719,3248.5343,0.6128,0.9585,0.6989,2.3615,0.8782,0.8815,0.8037,0.9759,0.8815,0.7458,,,,,,,,,,,,,,,,,,,,,,,,
28,2d3cno123_y,CLTree,,,,,,,,,,,,,,,,,,,,,,,6.152244329452515,0.2159,67.7396,5.7332,0.5668,0.2207,0.2432,0.366,0.3688,0.2545,0.6692,0.3688,0.6928,,,,,,2.0,4.0,10.0,,,,,,,,,,,,,,,,
29,2d3cno123_y,CenterParTree2,,,,,,,,42.0,,,,,5.0,3.0,,,,,,,inf,20.0,0.2843353748321533,0.5448,1068.4656,0.6528,0.8176,0.6417,0.5256,0.6591,0.6597,0.5501,0.8237,0.6597,0.8201,12.0,2.0,0.0,cos,jaccard,,,,,,,,,,,,,,,,,,,
30,2d3cno123_y,ImpurityParTree2,,,,,,,,42.0,,,,,50.0,3.0,,,,,,,inf,20.0,0.4327149391174316,0.5375,1042.4372,0.6761,0.8234,0.6519,0.5191,0.6469,0.6475,0.5433,0.801,0.6475,0.8233,6.0,2.0,0.0,,,,,,,,,,entropy,mape,,,,,,,,,,
31,2d3cno123_y,PrincipalParTree,,,,,,,,42.0,,,,,5.0,3.0,,,,,,,inf,20.0,0.0061922073364257,0.5448,1068.4656,0.6528,0.8176,0.6417,0.5256,0.6591,0.6597,0.5501,0.8237,0.6597,0.8201,3.0,2.0,0.0,,,,,,1.0,False,2.0,,,,,,,,,,,,,
32,2d3cno123_y,VarianceParTree,,,,,,,,,,,,,50.0,3.0,,,,,,,inf,20.0,0.3706796169281006,0.5448,1068.4656,0.6528,0.8176,0.6417,0.5256,0.6591,0.6597,0.5501,0.8237,0.6597,0.8201,10.0,2.0,0.1,,,,,,,,,,,,,,,,,,,,,
33,2d3cno123_y,kmeans+dt,2.0,True,k-means++,11.0,300.0,0.0001,False,42.0,True,lloyd,gini,best,30.0,5.0,0.0,,,0.0,,0.0,1000.0,20.0,0.0551941394805908,0.5375,1042.4372,0.6761,0.8234,0.6519,0.5191,0.6469,0.6475,0.5433,0.801,0.6475,0.8233,,,,,,,,,,,,,,,,,,,,,,,,
34,2d3cno123_y,kmodes,2.0,,Cao,11.0,100.0,,False,42.0,,,,,,,,,,,,,inf,20.0,0.0457186698913574,-0.0397,0.6796,1.0996,0.4169,0.0005,0.0014,0.0001,0.0029,0.0015,0.1317,0.0029,0.6444,,,,,,,,,,,,,,,,,,4.0,,,,,,
35,2d3cno123_y,pyc_xmeans,,,,,,,,,,,,,,,,,,,,,1000.0,20.0,0.0053498744964599,0.5643,1201.1235,0.6501,0.8798,0.7623,0.6486,0.8037,0.8041,0.6788,0.986,0.8041,0.8803,,,,,,,,,,,,,,,,,,,,,,2.0,14.0,
36,2d3cno123_y,skl_DBSCAN,,,,,,,,,,auto,,,,,,,,,,,100.0,20.0,0.0050797462463378,0.4765,605.0888,1.5361,0.8911,0.7828,0.6616,0.7719,0.7727,0.6924,0.874,0.7727,0.8865,,,,,,,,,,,,,,,5.0,,euclidean,4.0,0.25,,,,,
37,2d3cno123_y,skl_OPTICS,,,,,,,,,,auto,,,,,,,,,,,100.0,20.0,1.3005657196044922,0.3225,343.0038,0.9717,0.8791,0.7543,0.6511,0.7109,0.7118,0.6815,0.745,0.7118,0.8615,,,,,,,,,,,,,,,20.0,inf,euclidean,4.0,,,,,,
38,2d3cno123_y,skl_agglomerativeClust,2.0,,,,,,,,,,,,,,,,,,,,inf,20.0,0.0061755180358886,0.5644,1200.8353,0.6493,0.877,0.7569,0.6406,0.7941,0.7945,0.6704,0.975,0.7945,0.8776,,,,,,,,,,,,,,,,,euclidean,,,,,,,average
39,2d3cno123_y,skl_birch,2.0,,,,,,,,,,,,,,,,,,,,100.0,20.0,0.0109307765960693,0.5634,1198.1448,0.6507,0.8798,0.7623,0.6486,0.8037,0.8041,0.6788,0.986,0.8041,0.8803,,,,,,,,,,,,,,,,,,,,0.5,50.0,,,
40,2d3cno123_y,skl_bis_kmeans,2.0,,k-means++,11.0,300.0,0.0001,False,42.0,True,lloyd,,,,,,,,,,,inf,20.0,0.0663604736328125,0.5643,1201.1235,0.6501,0.8798,0.7623,0.6486,0.8037,0.8041,0.6788,0.986,0.8041,0.8803,,,,,,,,,,,,biggest_inertia,,,,,,,,,,,,
